stt,school_name,school_id,location,school_type,ownership,website_url
70,TRƯỜNG CAO ĐẲNG SƯ PHẠM THỪA THIÊN HUẾ,C33,Thừa Thiên Huế,Trường cao đẳng sư phạm,Công lập,
71,TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG,CM1,Hà Nội,Trường cao đẳng sư phạm,Công lập,
72,TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG NHA TRANG,CM2,Khánh Hoà,Trường cao đẳng sư phạm,Công lập,
73,TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG TP.HỒ CHÍ MINH,CM3,TP. Hồ Chí Minh,Trường cao đẳng sư phạm,Công lập,
74,TRƯỜNG CAO ĐẲNG SƯ PHẠM YÊN BÁI,C13,Yên Bái,Trường cao đẳng sư phạm,Công lập,
75,Trường Cao đẳng Vĩnh Long,C57,Vĩnh Long,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
76,Trường Cao đẳng Vĩnh Phúc,C16,Vĩnh Phúc,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,
77,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,TAG,An Giang,Trường đại học,Công lập,
78,TRƯỜNG ĐẠI HỌC ANH QUỐC - VIỆT NAM,BUV,Hà Nội,Trường đại học,Nước ngoài,
79,TRƯỜNG ĐẠI HỌC BÀ RỊA - VŨNG TÀU,BVU,Bà Rịa - Vũng Tàu,Trường đại học,Tư thục,
80,TRƯỜNG ĐẠI HỌC BẠC LIÊU,DBL,Bạc Liêu,Trường đại học,Công lập,
81,TRƯỜNG ĐẠI HỌC BÁCH KHOA - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,QSB,TP. Hồ Chí Minh,Trường đại học,Công lập,
82,"TRƯỜNG ĐẠI HỌC BÁCH KHOA, ĐẠI HỌC ĐÀ NẴNG",DDK,Đà Nẵng,Trường đại học,Công lập,
83,TRƯỜNG ĐẠI HỌC BÌNH DƯƠNG,DBD,Bình Dương,Trường đại học,Tư thục,
84,TRƯỜNG ĐẠI HỌC CẦN THƠ,TCT,Cần Thơ,Trường đại học,Công lập,
85,TRƯỜNG ĐẠI HỌC CMC,MCA,Hà Nội,Trường đại học,Tư thục,
86,TRƯỜNG ĐẠI HỌC CÔNG ĐOÀN,LDA,Hà Nội,Trường đại học,Công lập,
87,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHI,Hà Nội,Trường đại học,Công lập,
88,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ ĐỒNG NAI,DCD,Đồng Nai,Trường đại học,Tư thục,
